Issues	Relationship	Link Issues
HADOOP-9624	is part of	HADOOP-8645
HADOOP-9620	incorporates	HDFS-4752
HADOOP-9620	incorporates	HADOOP-8957
HADOOP-9620	incorporates	HADOOP-8958
HADOOP-9620	incorporates	HADOOP-8982
HADOOP-9620	incorporates	HADOOP-9131
HADOOP-9620	incorporates	HADOOP-9526
HADOOP-9620	incorporates	HADOOP-9527
HADOOP-9620	incorporates	HDFS-4871
HADOOP-9620	incorporates	MAPREDUCE-5349
HADOOP-9609	is part of	HADOOP-8645
HADOOP-9579	is part of	HADOOP-8645
HADOOP-9553	is part of	HADOOP-8562
HADOOP-9552	is part of	HADOOP-8645
HADOOP-9551	is part of	HADOOP-8645
HADOOP-9527	is part of	HADOOP-9620
HADOOP-9527	is part of	HADOOP-8562
HADOOP-9526	is part of	HADOOP-9620
HADOOP-9526	is part of	HADOOP-8562
HADOOP-9524	is part of	HADOOP-8562
HADOOP-9519	is part of	HADOOP-9517
HADOOP-9518	is part of	HADOOP-9517
HADOOP-9517	incorporates	HADOOP-9518
HADOOP-9517	incorporates	HADOOP-9519
HADOOP-9507	is part of	HADOOP-8645
HADOOP-9500	is part of	HADOOP-8562
HADOOP-9495	is part of	HADOOP-9361
HADOOP-9488	is part of	HADOOP-8562
HADOOP-9483	is part of	HADOOP-8562
HADOOP-9480	is part of	HADOOP-8645
HADOOP-9472	is part of	HADOOP-8645
HADOOP-9463	is part of	HADOOP-8645
HADOOP-9453	incorporates	HADOOP-9447
HADOOP-9452	is part of	HADOOP-8645
HADOOP-9447	is part of	HADOOP-9453
HADOOP-9443	is part of	HADOOP-8562
HADOOP-9437	is part of	HADOOP-8562
HADOOP-9422	is part of	HADOOP-8562
HADOOP-9372	is part of	HADOOP-8562
HADOOP-9368	is part of	HADOOP-8562
HADOOP-9365	is part of	HADOOP-8562
HADOOP-9364	is part of	HADOOP-8562
HADOOP-9361	incorporates	HADOOP-10419
HADOOP-9361	incorporates	HADOOP-10533
HADOOP-9361	incorporates	HADOOP-9495
HADOOP-9361	incorporates	HADOOP-10458
HADOOP-9356	is part of	HADOOP-8562
HADOOP-9354	is part of	HADOOP-8562
HADOOP-9348	is part of	HADOOP-8562
HADOOP-9347	is part of	HADOOP-8562
HADOOP-9313	is part of	HADOOP-8562
HADOOP-9309	is part of	HADOOP-8562
HADOOP-9294	is part of	HADOOP-8562
HADOOP-9290	is part of	HADOOP-8562
HADOOP-9285	is part of	HADOOP-8594
HADOOP-9278	is part of	HADOOP-8562
HADOOP-9266	is part of	HADOOP-8562
HADOOP-9264	is part of	HADOOP-8562
HADOOP-9250	is part of	HADOOP-8645
HADOOP-9177	is part of	HADOOP-8645
HADOOP-9155	incorporates	HDFS-4333
HADOOP-9146	is part of	HADOOP-8562
HADOOP-9144	is part of	HADOOP-8562
HADOOP-9133	is part of	HADOOP-8562
HADOOP-9131	is part of	HADOOP-9620
HADOOP-9131	is part of	HDFS-4871
HADOOP-9131	is part of	HADOOP-8562
HADOOP-9119	incorporates	HADOOP-9118
HADOOP-9118	is part of	HADOOP-9119
HADOOP-9110	is part of	HADOOP-8562
HADOOP-9096	is part of	HADOOP-8645
HADOOP-9081	is part of	HADOOP-8562
HADOOP-9074	is part of	HADOOP-8645
HADOOP-9068	is part of	HADOOP-8845
HADOOP-9062	is part of	HADOOP-8645
HADOOP-9061	is part of	HADOOP-8645
HADOOP-9057	is part of	HADOOP-8645
HADOOP-9056	is part of	HADOOP-8562
HADOOP-9043	is part of	HADOOP-8562
HADOOP-9036	is part of	HADOOP-8645
HADOOP-9027	is part of	HADOOP-8645
HADOOP-9026	is part of	HADOOP-8645
HADOOP-9018	is part of	HADOOP-8562
HADOOP-9011	is part of	HADOOP-8562
HADOOP-9008	is part of	HADOOP-8562
HADOOP-9007	is part of	HADOOP-8645
HADOOP-9006	is part of	HADOOP-8645
HADOOP-9005	is part of	HADOOP-8562
HADOOP-8983	is part of	HADOOP-8517
HADOOP-8982	is part of	HADOOP-9620
HADOOP-8982	is part of	HADOOP-8562
HADOOP-8981	is part of	HADOOP-8562
HADOOP-8980	is part of	HADOOP-8562
HADOOP-8979	is part of	HADOOP-8562
HADOOP-8978	is part of	HADOOP-8562
HADOOP-8977	is part of	HADOOP-8562
HADOOP-8976	is part of	HADOOP-8562
HADOOP-8975	is part of	HADOOP-8562
HADOOP-8974	is part of	HADOOP-8562
HADOOP-8973	is part of	HADOOP-8562
HADOOP-8972	is part of	HADOOP-8645
HADOOP-8961	is part of	HADOOP-8562
HADOOP-8960	is part of	HADOOP-8562
HADOOP-8959	is part of	HADOOP-8562
HADOOP-8958	is part of	HADOOP-9620
HADOOP-8958	is part of	HADOOP-8562
HADOOP-8957	is part of	HADOOP-9620
HADOOP-8957	is part of	HDFS-4871
HADOOP-8957	is part of	HADOOP-8562
HADOOP-8956	is part of	HADOOP-8562
HADOOP-8955	is part of	HADOOP-8562
HADOOP-8954	is part of	HADOOP-8562
HADOOP-8953	is part of	HADOOP-8562
HADOOP-8949	is part of	HADOOP-8562
HADOOP-8948	is part of	HADOOP-8562
HADOOP-8947	is part of	HADOOP-8562
HADOOP-8946	is part of	HADOOP-8562
HADOOP-8945	is part of	HADOOP-8562
HADOOP-8936	is part of	HADOOP-8645
HADOOP-8935	is part of	HADOOP-8645
HADOOP-8908	is part of	HADOOP-8645
HADOOP-8907	is part of	HADOOP-8645
HADOOP-8903	is part of	HADOOP-8645
HADOOP-8902	is part of	HADOOP-8645
HADOOP-8899	is part of	HADOOP-8645
HADOOP-8879	is part of	HADOOP-8645
