Issues	Relationship	Link Issues
HADOOP-1731	incorporates	HBASE-389
HADOOP-1707	incorporates	HDFS-67
HADOOP-1694	is part of	HADOOP-2664
HADOOP-1687	incorporates	HADOOP-1743
HADOOP-1687	incorporates	HADOOP-1759
HADOOP-1687	incorporates	HADOOP-1766
HADOOP-1627	incorporates	HADOOP-632
HADOOP-1627	incorporates	HADOOP-942
HADOOP-1609	is part of	HADOOP-2919
HADOOP-1602	is part of	HADOOP-1553
HADOOP-1569	incorporates	HADOOP-495
HADOOP-1569	incorporates	HADOOP-1481
HADOOP-1569	incorporates	HADOOP-1499
HADOOP-1569	incorporates	HADOOP-1506
HADOOP-1569	incorporates	HADOOP-1533
HADOOP-1569	incorporates	HADOOP-1539
HADOOP-1553	incorporates	HADOOP-1529
HADOOP-1553	incorporates	HADOOP-1602
HADOOP-1539	is part of	HADOOP-1569
HADOOP-1533	is part of	HADOOP-1569
HADOOP-1529	is part of	HADOOP-1553
HADOOP-1506	is part of	HADOOP-1569
HADOOP-1499	is part of	HADOOP-1569
HADOOP-1481	is part of	HADOOP-1569
HADOOP-1782	is part of	HADOOP-1298
HADOOP-1766	is part of	HADOOP-1687
HADOOP-1759	is part of	HADOOP-1687
HADOOP-1743	is part of	HADOOP-1687
HADOOP-1731	incorporates	HBASE-389
HADOOP-1707	incorporates	HDFS-67
HADOOP-1694	is part of	HADOOP-2664
HADOOP-1687	incorporates	HADOOP-1743
HADOOP-1687	incorporates	HADOOP-1759
HADOOP-1687	incorporates	HADOOP-1766
HADOOP-1627	incorporates	HADOOP-632
HADOOP-1627	incorporates	HADOOP-942
HADOOP-1609	is part of	HADOOP-2919
HADOOP-1602	is part of	HADOOP-1553
HADOOP-1569	incorporates	HADOOP-495
HADOOP-1569	incorporates	HADOOP-1481
HADOOP-1569	incorporates	HADOOP-1499
HADOOP-1569	incorporates	HADOOP-1506
HADOOP-1569	incorporates	HADOOP-1533
HADOOP-1569	incorporates	HADOOP-1539
HADOOP-1553	incorporates	HADOOP-1529
HADOOP-1553	incorporates	HADOOP-1602
HADOOP-1539	is part of	HADOOP-1569
HADOOP-1533	is part of	HADOOP-1569
HADOOP-1529	is part of	HADOOP-1553
HADOOP-1506	is part of	HADOOP-1569
HADOOP-1499	is part of	HADOOP-1569
HADOOP-1481	is part of	HADOOP-1569
HADOOP-1478	is part of	HADOOP-1134
HADOOP-1471	is part of	HADOOP-1134
HADOOP-1470	incorporates	HADOOP-1285
HADOOP-1462	incorporates	HADOOP-1201
HADOOP-1390	incorporates	HADOOP-1366
HADOOP-1366	is part of	HADOOP-1390
HADOOP-1345	is part of	HADOOP-1124
HADOOP-1298	incorporates	HADOOP-1782
HADOOP-1285	is part of	HADOOP-1470
HADOOP-1215	is part of	HADOOP-1214
HADOOP-1214	incorporates	HADOOP-1215
HADOOP-1201	is part of	HADOOP-1462
HADOOP-1190	is part of	HDFS-318
HADOOP-1144	incorporates	HADOOP-39
HADOOP-1134	incorporates	HADOOP-1471
HADOOP-1134	incorporates	HADOOP-1478
HADOOP-1124	incorporates	HADOOP-1345
HADOOP-1027	incorporates	HADOOP-1012
HADOOP-1014	incorporates	HADOOP-333
HADOOP-1013	is part of	HADOOP-972
HADOOP-1012	is part of	HADOOP-1027
HADOOP-985	incorporates	HADOOP-697
HADOOP-972	incorporates	HADOOP-1013
HADOOP-872	is part of	HADOOP-2919
HADOOP-815	incorporates	HADOOP-740
HADOOP-815	incorporates	HADOOP-787
HADOOP-787	is part of	HADOOP-815
HADOOP-740	is part of	HADOOP-815
HADOOP-717	is part of	HADOOP-331
HADOOP-697	is part of	HADOOP-985
HADOOP-657	incorporates	HADOOP-3441
HADOOP-632	is part of	HADOOP-1627
HADOOP-611	incorporates	HADOOP-591
HADOOP-591	is part of	HADOOP-611
HADOOP-499	incorporates	HADOOP-413
HADOOP-495	is part of	HADOOP-1569
HADOOP-456	is part of	HADOOP-306
HADOOP-434	is part of	HADOOP-307
HADOOP-430	is part of	HADOOP-306
HADOOP-413	is part of	HADOOP-499
HADOOP-396	incorporates	HADOOP-395
HADOOP-395	is part of	HADOOP-396
HADOOP-376	is part of	HADOOP-375
HADOOP-375	incorporates	HADOOP-376
HADOOP-365	is part of	HADOOP-354
HADOOP-364	is part of	HADOOP-252
HADOOP-354	incorporates	HADOOP-365
HADOOP-333	is part of	HADOOP-1014
HADOOP-331	incorporates	HADOOP-717
HADOOP-307	incorporates	HADOOP-434
HADOOP-306	incorporates	HADOOP-430
HADOOP-306	incorporates	HADOOP-456
HADOOP-302	incorporates	HADOOP-136
HADOOP-287	is part of	HADOOP-2919
HADOOP-252	incorporates	HADOOP-364
HADOOP-249	is part of	MAPREDUCE-453
HADOOP-246	is part of	HADOOP-245
HADOOP-245	incorporates	HADOOP-246
HADOOP-136	is part of	HADOOP-302
HADOOP-109	is part of	HADOOP-940
HADOOP-85	is part of	HADOOP-83
HADOOP-83	incorporates	HADOOP-85
HADOOP-71	incorporates	HADOOP-900
HADOOP-64	incorporates	HADOOP-50
HADOOP-53	is part of	HADOOP-2206
HADOOP-50	is part of	HADOOP-64
HADOOP-39	is part of	HADOOP-1144
HADOOP-24	is part of	HADOOP-3582
HADOOP-1	is part of	NUTCH-193
