Issues	Relationship	Link Issues
HADOOP-18015	is related to	HADOOP-18016
HADOOP-18013	is related to	HADOOP-17691
HADOOP-18003	is depended upon by	HDFS-16310
HADOOP-18002	is related to	HADOOP-18012
HADOOP-18002	is related to	HADOOP-17979
HADOOP-18001	is related to	HADOOP-18042
HADOOP-17998	is related to	HADOOP-18023
HADOOP-17991	is caused by	HADOOP-17873
HADOOP-17989	is caused by	HADOOP-17934
HADOOP-17988	is duplicated by	HADOOP-17992
HADOOP-17985	is cloned by	HADOOP-17986
HADOOP-17985	is cloned by	HADOOP-17987
HADOOP-17985	is cloned by	HADOOP-17988
HADOOP-17985	is cloned by	HADOOP-17992
HADOOP-17985	is cloned by	HADOOP-17993
HADOOP-17981	is related to	HADOOP-18002
HADOOP-17981	is related to	HDDS-2935
HADOOP-17979	is related to	HADOOP-18012
HADOOP-17979	is related to	HADOOP-17981
HADOOP-17978	is depended upon by	HADOOP-17880
HADOOP-17970	is required by	HADOOP-17110
HADOOP-17967	is related to	HADOOP-17098
HADOOP-17965	is related to	HADOOP-16870
HADOOP-17950	is related to	HADOOP-17956
HADOOP-17939	is related to	PARQUET-2150
HADOOP-17936	is related to	HADOOP-17139
HADOOP-17936	is related to	HADOOP-16878
HADOOP-17935	is related to	HADOOP-17833
HADOOP-17934	is related to	HADOOP-18012
HADOOP-17934	is related to	HADOOP-18002
HADOOP-17931	is broken by	YARN-2190
HADOOP-17930	is required by	HADOOP-17123
HADOOP-17929	is required by	HADOOP-17123
HADOOP-17925	is related to	HADOOP-14835
HADOOP-17917	is related to	HADOOP-15993
HADOOP-17904	is caused by	HADOOP-17807
HADOOP-17902	is blocked by	HADOOP-17913
HADOOP-17901	is caused by	HADOOP-16951
HADOOP-17900	is related to	HADOOP-16777
HADOOP-17899	is related to	HADOOP-16318
HADOOP-17899	is related to	HADOOP-17870
HADOOP-17899	is related to	HADOOP-14693
HADOOP-17891	is duplicated by	HADOOP-17916
HADOOP-17891	is related to	HADOOP-17125
HADOOP-17891	is related to	HADOOP-17292
HADOOP-17889	is related to	HADOOP-16492
HADOOP-17887	is related to	HADOOP-17825
HADOOP-17885	is related to	HADOOP-17844
HADOOP-17877	is caused by	HADOOP-17825
HADOOP-17872	is a child of	HADOOP-17853
HADOOP-17871	is related to	HADOOP-13887
HADOOP-17871	is related to	HADOOP-17922
HADOOP-17869	is duplicated by	HADOOP-13637
HADOOP-17868	is related to	HADOOP-17825
HADOOP-17864	is a child of	HADOOP-17853
HADOOP-17860	is duplicated by	HADOOP-18197
HADOOP-17857	is depended upon by	YARN-1115
HADOOP-17851	is related to	HADOOP-16259
HADOOP-17851	is related to	HADOOP-17983
HADOOP-17850	is related to	HADOOP-17849
HADOOP-17842	is related to	HADOOP-18179
HADOOP-17841	is related to	HADOOP-17835
HADOOP-17835	is related to	HADOOP-17612
HADOOP-17833	is related to	HADOOP-17584
HADOOP-17833	is related to	HADOOP-18162
HADOOP-17822	is caused by	HADOOP-17511
HADOOP-17817	is related to	HADOOP-17823
HADOOP-17804	is related to	HADOOP-17893
HADOOP-17801	is caused by	HADOOP-16711
HADOOP-17796	is duplicated by	HADOOP-18037
HADOOP-17796	is related to	HADOOP-18001
HADOOP-17787	is related to	HADOOP-17798
HADOOP-17784	is related to	SPARK-36024
HADOOP-17779	is caused by	HADOOP-17313
HADOOP-17774	is caused by	HADOOP-17271
HADOOP-17774	is related to	HADOOP-17789
HADOOP-17773	is fixed by	HADOOP-17612
HADOOP-17771	is caused by	HADOOP-13551
HADOOP-17771	is related to	SPARK-35878
HADOOP-17769	is caused by	HADOOP-17602
HADOOP-17764	is depended upon by	HADOOP-17812
HADOOP-17762	is fixed by	INFRA-22020
HADOOP-17759	is blocked by	HDFS-14829
HADOOP-17758	is caused by	HADOOP-17728
HADOOP-17757	is blocked by	HADOOP-17752
HADOOP-17757	is blocked by	HADOOP-17754
HADOOP-17753	is related to	HADOOP-17152
HADOOP-17750	is caused by	HADOOP-17727
HADOOP-17750	is related to	HADOOP-17978
HADOOP-17744	is depended upon by	SPARK-34298
HADOOP-17743	is related to	HADOOP-17152
HADOOP-17740	is caused by	HADOOP-17718
HADOOP-17735	is related to	HADOOP-17343
HADOOP-17735	is related to	HBASE-27042
HADOOP-17733	is related to	HADOOP-17730
HADOOP-17730	is related to	YARN-10195
HADOOP-17726	is related to	HADOOP-17115
HADOOP-17726	is related to	HADOOP-17720
HADOOP-17726	is related to	HADOOP-17721
HADOOP-17726	is related to	HADOOP-17722
HADOOP-17719	is related to	HDFS-13916
HADOOP-17709	is fixed by	HADOOP-12502
HADOOP-17705	is depended upon by	HADOOP-15603
HADOOP-17705	is depended upon by	HADOOP-17677
HADOOP-17705	is required by	HADOOP-18338
HADOOP-17702	is broken by	HADOOP-17065
HADOOP-17695	is caused by	HADOOP-17281
HADOOP-17691	is related to	HADOOP-17772
HADOOP-17687	is related to	HADOOP-17691
HADOOP-17684	is caused by	HADOOP-17602
HADOOP-17683	is related to	HADOOP-17972
HADOOP-17674	is broken by	HADOOP-16870
HADOOP-17671	is related to	HADOOP-17702
HADOOP-17671	is related to	YARN-10772
HADOOP-17671	is related to	HADOOP-17704
HADOOP-17671	is related to	HDFS-16027
HADOOP-17671	is related to	HADOOP-16916
HADOOP-17671	is related to	HADOOP-17065
HADOOP-17671	is related to	HDFS-15245
HADOOP-17671	is related to	HDFS-15975
HADOOP-17666	is blocked by	HADOOP-17696
HADOOP-17657	is required by	TEZ-4305
HADOOP-17655	is broken by	HADOOP-17625
HADOOP-17655	is broken by	HADOOP-17627
HADOOP-17655	is broken by	HADOOP-17651
HADOOP-17655	is related to	HADOOP-17796
HADOOP-17654	is depended upon by	HADOOP-17512
HADOOP-17653	is related to	HADOOP-18036
HADOOP-17653	is related to	HADOOP-17676
HADOOP-17652	is caused by	HADOOP-17002
HADOOP-17650	is depended upon by	HADOOP-18198
HADOOP-17650	is related to	YARN-11068
HADOOP-17647	is blocked by	HADOOP-17644
HADOOP-17647	is blocked by	HADOOP-17661
HADOOP-17647	is blocked by	HDFS-15995
HADOOP-17647	is blocked by	YARN-10752
HADOOP-17647	is depended upon by	HDDS-3292
HADOOP-17647	is related to	HADOOP-17426
HADOOP-17647	is related to	HADOOP-17658
HADOOP-17644	is broken by	HADOOP-17432
HADOOP-17642	is related to	HADOOP-17524
HADOOP-17638	is broken by	HADOOP-14405
HADOOP-17635	is related to	HADOOP-17507
HADOOP-17633	is related to	HADOOP-17844
HADOOP-17631	is related to	HADOOP-18313
HADOOP-17628	is caused by	HADOOP-17531
HADOOP-17628	is caused by	HADOOP-17620
HADOOP-17627	is cloned by	HADOOP-17651
HADOOP-17612	is related to	HADOOP-18200
HADOOP-17612	is related to	CURATOR-588
HADOOP-17611	is caused by	HADOOP-11794
HADOOP-17609	is related to	HDFS-15098
