Issues	Relationship	Link Issues
HADOOP-16739	is related to	HADOOP-15685
HADOOP-16730	is duplicated by	HADOOP-16864
HADOOP-16729	is depended upon by	HADOOP-16772
HADOOP-16716	is blocked by	HADOOP-16717
HADOOP-16711	is depended upon by	SPARK-24000
HADOOP-16711	is related to	HADOOP-15990
HADOOP-16708	is broken by	HADOOP-16181
HADOOP-16701	is broken by	HADOOP-15821
HADOOP-16700	is broken by	HADOOP-16266
HADOOP-16698	is duplicated by	HADOOP-15981
HADOOP-16689	is related to	HADOOP-16138
HADOOP-16687	is duplicated by	HADOOP-16689
HADOOP-16685	is depended upon by	IMPALA-9120
HADOOP-16683	is related to	HADOOP-16580
HADOOP-16680	is blocked by	HADOOP-16679
HADOOP-16675	is related to	HADOOP-16803
HADOOP-16666	is caused by	HADOOP-16478
HADOOP-16665	is depended upon by	HADOOP-15620
HADOOP-16664	is related to	HADOOP-16561
HADOOP-16663	is related to	HADOOP-16560
HADOOP-16655	is broken by	HADOOP-16323
HADOOP-16653	is related to	HADOOP-16926
HADOOP-16650	is caused by	HADOOP-16570
HADOOP-16647	is depended upon by	HDFS-15098
HADOOP-16643	is duplicated by	HADOOP-11716
HADOOP-16635	is related to	HADOOP-16634
HADOOP-16633	is depended upon by	HADOOP-16415
HADOOP-16628	is related to	HDDS-2248
HADOOP-16626	is caused by	HADOOP-16458
HADOOP-16625	is related to	HADOOP-14624
HADOOP-16621	is related to	HADOOP-15059
HADOOP-16621	is related to	HADOOP-12563
HADOOP-16614	is related to	HADOOP-16723
HADOOP-16610	is related to	HADOOP-17557
HADOOP-16606	is broken by	HADOOP-16494
HADOOP-16605	is caused by	HADOOP-16438
HADOOP-16603	is related to	HADOOP-16797
HADOOP-16603	is related to	HADOOP-16723
HADOOP-16602	is caused by	HADOOP-16445
HADOOP-16599	is related to	HADOOP-16651
HADOOP-16598	is blocked by	HADOOP-16600
HADOOP-16598	is related to	HADOOP-16558
HADOOP-16596	is related to	HADOOP-18040
HADOOP-16593	is related to	HADOOP-16560
HADOOP-16588	is related to	HADOOP-16542
HADOOP-16580	is related to	HADOOP-14982
HADOOP-16579	is related to	HADOOP-17612
HADOOP-16578	is cloned by	HADOOP-16631
HADOOP-16570	is related to	HADOOP-16798
HADOOP-16567	is duplicated by	HADOOP-16607
HADOOP-16559	is duplicated by	HADOOP-16558
HADOOP-16557	is caused by	YARN-9924
HADOOP-16555	is related to	HADOOP-17370
HADOOP-16555	is related to	HADOOP-15804
HADOOP-16554	is broken by	HADOOP-16430
HADOOP-16551	is broken by	HADOOP-16061
HADOOP-16548	is cloned by	HADOOP-16630
HADOOP-16548	is cloned by	HADOOP-16750
HADOOP-16544	is related to	HADOOP-12928
HADOOP-16544	is related to	HADOOP-15849
HADOOP-16540	is duplicated by	HADOOP-16807
HADOOP-16533	is depended upon by	HADOOP-16619
HADOOP-16533	is related to	HADOOP-16485
HADOOP-16528	is related to	HADOOP-16354
HADOOP-16528	is related to	HDFS-15271
HADOOP-16524	is related to	HADOOP-17608
HADOOP-16506	is a child of	HADOOP-16403
HADOOP-16503	is a child of	HADOOP-16264
HADOOP-16501	is caused by	HADOOP-16396
HADOOP-16499	is related to	HADOOP-16490
HADOOP-16495	is broken by	HADOOP-16398
HADOOP-16492	is related to	HADOOP-17593
HADOOP-16490	is duplicated by	HADOOP-17216
HADOOP-16490	is related to	HADOOP-17216
HADOOP-16487	is related to	HADOOP-16533
HADOOP-16485	is related to	HADOOP-16487
HADOOP-16485	is related to	HADOOP-16198
HADOOP-16485	is related to	HADOOP-16451
HADOOP-16485	is related to	HADOOP-15482
HADOOP-16485	is related to	HADOOP-16365
HADOOP-16481	is caused by	HADOOP-16384
HADOOP-16480	is caused by	HADOOP-15229
HADOOP-16479	is related to	HADOOP-17640
HADOOP-16477	is duplicated by	HADOOP-16316
HADOOP-16465	is blocked by	HADOOP-16697
HADOOP-16460	is depended upon by	HADOOP-16410
HADOOP-16460	is duplicated by	HADOOP-16405
HADOOP-16459	is depended upon by	HDFS-14667
HADOOP-16459	is related to	HADOOP-16266
HADOOP-16458	is depended upon by	HADOOP-16465
HADOOP-16451	is related to	HBASE-22722
HADOOP-16451	is related to	HADOOP-16487
HADOOP-16439	is related to	HADOOP-18099
HADOOP-16438	is depended upon by	HADOOP-16460
HADOOP-16436	is caused by	HADOOP-16393
HADOOP-16435	is related to	HIVE-22038
HADOOP-16432	is related to	HADOOP-16437
HADOOP-16431	is related to	HADOOP-16453
HADOOP-16430	is related to	HADOOP-17244
HADOOP-16418	is broken by	HDFS-12345
HADOOP-16411	is broken by	HDFS-12345
HADOOP-16411	is related to	HADOOP-16418
HADOOP-16409	is related to	HADOOP-16396
HADOOP-16405	is duplicated by	HADOOP-16410
HADOOP-16405	is related to	HADOOP-16647
HADOOP-16398	is related to	HBASE-20904
HADOOP-16398	is related to	HADOOP-17893
HADOOP-16396	is related to	HADOOP-16384
HADOOP-16394	is related to	HADOOP-15566
HADOOP-16391	is broken by	HADOOP-11552
HADOOP-16390	is caused by	HADOOP-15183
HADOOP-16386	is related to	HDFS-14585
HADOOP-16385	is broken by	HADOOP-15317
HADOOP-16385	is related to	HADOOP-16028
HADOOP-16384	is related to	HADOOP-16380
HADOOP-16381	is broken by	YARN-9016
HADOOP-16380	is caused by	HADOOP-16279
HADOOP-16380	is related to	HADOOP-16427
HADOOP-16379	is required by	IMPALA-8544
HADOOP-16375	is caused by	HADOOP-16221
HADOOP-16371	is related to	HADOOP-16346
HADOOP-16371	is related to	HADOOP-15669
HADOOP-16371	is related to	HADOOP-16050
HADOOP-16367	is caused by	HADOOP-16314
HADOOP-16365	is depended upon by	HADOOP-16451
HADOOP-16360	is duplicated by	HADOOP-17241
HADOOP-16359	is related to	HADOOP-13578
HADOOP-16358	is related to	HADOOP-16723
HADOOP-16357	is caused by	HADOOP-16058
HADOOP-16356	is caused by	HADOOP-16314
HADOOP-16356	is caused by	HADOOP-16354
HADOOP-16353	is related to	HADOOP-15763
HADOOP-16350	is related to	HDFS-13696
HADOOP-16350	is related to	HADOOP-14104
HADOOP-16349	is related to	HADOOP-16520
HADOOP-16347	is caused by	HADOOP-16050
HADOOP-16347	is depended upon by	HADOOP-16346
HADOOP-16347	is related to	HADOOP-16405
HADOOP-16346	is related to	HADOOP-16405
HADOOP-16346	is related to	HADOOP-16835
HADOOP-16345	is broken by	HADOOP-15481
HADOOP-16343	is related to	HADOOP-16252
HADOOP-16334	is depended upon by	HADOOP-16061
HADOOP-16334	is related to	HADOOP-16748
HADOOP-16332	is caused by	HADOOP-16085
HADOOP-16331	is broken by	HADOOP-16323
HADOOP-16329	is caused by	HADOOP-16118
HADOOP-16327	is related to	HADOOP-15987
HADOOP-16325	is related to	HDDS-1458
HADOOP-16321	is broken by	HADOOP-16050
HADOOP-16321	is related to	HADOOP-16346
HADOOP-16317	is related to	HADOOP-14478
HADOOP-16314	is related to	HADOOP-16354
HADOOP-16310	is duplicated by	HADOOP-16531
HADOOP-16308	is caused by	HADOOP-16109
HADOOP-16299	is broken by	HADOOP-15941
HADOOP-16289	is a child of	HADOOP-16276
HADOOP-16283	is related to	DIRKRB-734
HADOOP-16279	is related to	HADOOP-16184
HADOOP-16279	is related to	HADOOP-16397
HADOOP-16270	is broken by	YARN-7129
HADOOP-16266	is depended upon by	HDFS-14403
HADOOP-16266	is related to	HADOOP-16290
HADOOP-16265	is broken by	HDFS-14346
HADOOP-16264	is a child of	HADOOP-16795
HADOOP-16264	is a child of	HADOOP-15338
HADOOP-16257	is related to	HADOOP-16284
HADOOP-16256	is related to	HADOOP-14383
HADOOP-16254	is related to	HDFS-13248
HADOOP-16253	is related to	YARN-8943
HADOOP-16251	is related to	HADOOP-16291
HADOOP-16251	is related to	HADOOP-16353
HADOOP-16248	is depended upon by	HADOOP-15620
HADOOP-16248	is related to	HADOOP-16278
HADOOP-16247	is related to	HADOOP-15217
HADOOP-16245	is broken by	HADOOP-12862
HADOOP-16245	is broken by	HADOOP-8121
HADOOP-16243	is related to	HADOOP-16431
HADOOP-16243	is related to	HADOOP-16453
HADOOP-16242	is related to	HADOOP-16353
HADOOP-16238	is depended upon by	YARN-9446
HADOOP-16237	is related to	YARN-9495
HADOOP-16236	is related to	HDFS-14394
HADOOP-16234	is depended upon by	HADOOP-16235
HADOOP-16233	is related to	HADOOP-16234
HADOOP-16232	is related to	HADOOP-16227
HADOOP-16230	is caused by	HADOOP-16220
HADOOP-16230	is required by	HADOOP-16210
HADOOP-16228	is broken by	HADOOP-13421
HADOOP-16226	is depended upon by	HDFS-14369
HADOOP-16225	is broken by	HADOOP-14876
HADOOP-16222	is caused by	HADOOP-16210
HADOOP-16222	is related to	HADOOP-16924
HADOOP-16221	is related to	HADOOP-16330
HADOOP-16220	is required by	HADOOP-16210
HADOOP-16218	is required by	HADOOP-16210
HADOOP-16210	is related to	HADOOP-17440
HADOOP-16207	is blocked by	HADOOP-16184
HADOOP-16207	is duplicated by	HADOOP-16422
HADOOP-16207	is related to	HADOOP-16415
HADOOP-16207	is related to	HADOOP-16186
HADOOP-16206	is a child of	HADOOP-12956
HADOOP-16206	is duplicated by	HADOOP-17632
HADOOP-16206	is duplicated by	YARN-10730
HADOOP-16206	is duplicated by	HADOOP-17831
HADOOP-16206	is related to	HBASE-19577
HADOOP-16206	is related to	YARN-11085
HADOOP-16206	is related to	LOG4J2-3341
HADOOP-16206	is related to	HADOOP-16377
HADOOP-16202	is depended upon by	HADOOP-18179
HADOOP-16202	is depended upon by	YARN-10444
HADOOP-16202	is duplicated by	HADOOP-16387
HADOOP-16202	is related to	HADOOP-15625
HADOOP-16202	is related to	HADOOP-17682
HADOOP-16202	is related to	HADOOP-16090
HADOOP-16202	is related to	HDFS-14478
HADOOP-16199	is broken by	HADOOP-14445
HADOOP-16190	is depended upon by	HADOOP-16085
HADOOP-16190	is related to	HADOOP-16189
HADOOP-16188	is related to	HADOOP-16189
HADOOP-16186	is broken by	HADOOP-15947
HADOOP-16185	is related to	HADOOP-15999
HADOOP-16184	is depended upon by	HADOOP-14936
HADOOP-16182	is related to	HADOOP-16353
HADOOP-16180	is related to	HADOOP-12045
HADOOP-16176	is related to	HADOOP-16644
HADOOP-16174	is related to	HADOOP-16353
HADOOP-16173	is related to	HADOOP-13577
HADOOP-16172	is related to	HDDS-1215
HADOOP-16168	is related to	HDFS-14118
HADOOP-16159	is fixed by	HADOOP-15331
HADOOP-16158	is cloned by	HADOOP-16536
HADOOP-16158	is related to	HADOOP-16049
HADOOP-16158	is related to	HADOOP-11794
HADOOP-16158	is related to	HADOOP-16536
HADOOP-16157	is related to	HADOOP-16353
HADOOP-16152	is depended upon by	HADOOP-9991
HADOOP-16152	is related to	HADOOP-16676
HADOOP-16152	is related to	HADOOP-14930
HADOOP-16152	is related to	HADOOP-16703
HADOOP-16152	is related to	HADOOP-15815
HADOOP-16150	is caused by	HDFS-13186
HADOOP-16150	is related to	HDFS-13934
HADOOP-16140	is depended upon by	HADOOP-13656
HADOOP-16140	is related to	HADOOP-12374
HADOOP-16136	is related to	HADOOP-15954
HADOOP-16134	is depended upon by	HADOOP-16456
HADOOP-16126	is required by	HADOOP-16127
HADOOP-16119	is blocked by	HADOOP-15977
HADOOP-16118	is depended upon by	HADOOP-14936
HADOOP-16118	is depended upon by	HADOOP-15563
HADOOP-16118	is related to	HADOOP-15604
HADOOP-16117	is depended upon by	HADOOP-15563
HADOOP-16117	is depended upon by	HADOOP-16118
HADOOP-16117	is related to	HADOOP-16308
HADOOP-16115	is a child of	HADOOP-16264
HADOOP-16109	is duplicated by	HADOOP-17755
HADOOP-16107	is related to	HADOOP-16150
HADOOP-16107	is related to	HADOOP-16102
HADOOP-16106	is caused by	HADOOP-15229
HADOOP-16099	is related to	HADOOP-10948
HADOOP-16098	is duplicated by	HADOOP-16106
HADOOP-16097	is depended upon by	HADOOP-16656
HADOOP-16097	is duplicated by	HADOOP-12382
HADOOP-16097	is duplicated by	HADOOP-12980
HADOOP-16097	is related to	HADOOP-10282
HADOOP-16096	is broken by	HADOOP-15281
HADOOP-16094	is broken by	HADOOP-15959
HADOOP-16093	is related to	HADOOP-16344
HADOOP-16090	is caused by	HADOOP-13164
HADOOP-16090	is related to	HADOOP-16134
HADOOP-16090	is related to	HADOOP-16942
HADOOP-16085	is depended upon by	HADOOP-14936
HADOOP-16085	is related to	HADOOP-16313
HADOOP-16085	is related to	HADOOP-15625
HADOOP-16085	is related to	HADOOP-15894
HADOOP-16085	is related to	HADOOP-16090
HADOOP-16085	is related to	HADOOP-16368
HADOOP-16082	is duplicated by	HDFS-14441
HADOOP-16077	is related to	HADOOP-14837
HADOOP-16076	is depended upon by	HADOOP-9991
HADOOP-16075	is depended upon by	HADOOP-9991
HADOOP-16068	is depended upon by	HADOOP-15862
HADOOP-16068	is related to	HADOOP-12770
HADOOP-16061	is related to	HADOOP-16748
HADOOP-16061	is related to	INFRA-17722
HADOOP-16059	is related to	HADOOP-10172
HADOOP-16058	is duplicated by	HADOOP-16153
HADOOP-16057	is broken by	HADOOP-15843
HADOOP-16054	is blocked by	HADOOP-16944
HADOOP-16054	is depended upon by	HADOOP-16888
HADOOP-16054	is related to	HADOOP-17084
HADOOP-16054	is required by	HADOOP-16748
HADOOP-16050	is related to	HADOOP-16346
HADOOP-16050	is related to	HADOOP-16405
HADOOP-16049	is related to	HADOOP-11794
HADOOP-16046	is related to	YARN-9279
HADOOP-16045	is related to	HADOOP-12973
HADOOP-16045	is related to	HADOOP-16835
HADOOP-16045	is related to	HADOOP-8562
HADOOP-16039	is caused by	HADOOP-15965
HADOOP-16038	is duplicated by	HADOOP-17269
HADOOP-16035	is related to	HADOOP-16609
HADOOP-16035	is related to	INFRA-17722
HADOOP-16035	is related to	HBASE-22147
HADOOP-16033	is caused by	HADOOP-14556
HADOOP-16031	is related to	HADOOP-15959
HADOOP-16026	is related to	HADOOP-16538
HADOOP-16026	is related to	HDFS-14176
HADOOP-16025	is related to	HADOOP-15177
HADOOP-16018	is caused by	HADOOP-15850
HADOOP-16018	is related to	HADOOP-11794
HADOOP-16016	is a child of	HADOOP-16264
HADOOP-16016	is duplicated by	HADOOP-16024
HADOOP-16008	is broken by	HADOOP-12847
HADOOP-16008	is duplicated by	HADOOP-16012
HADOOP-16007	is caused by	HADOOP-15554
HADOOP-16007	is duplicated by	HADOOP-15973
HADOOP-16000	is related to	HADOOP-15169
HADOOP-16000	is related to	HADOOP-18140
HADOOP-16000	is related to	HADOOP-16549
HADOOP-15999	is related to	HADOOP-15779
HADOOP-15999	is related to	HADOOP-15780
HADOOP-15999	is related to	HADOOP-16184
HADOOP-15999	is related to	HADOOP-15489
HADOOP-15997	is broken by	HADOOP-14445
HADOOP-15996	is depended upon by	HADOOP-15922
HADOOP-15996	is depended upon by	HADOOP-16023
HADOOP-15996	is related to	HADOOP-16031
HADOOP-15994	is duplicated by	HADOOP-16198
HADOOP-15992	is broken by	HADOOP-15759
HADOOP-15992	is related to	HADOOP-13794
HADOOP-15984	is related to	HADOOP-16115
HADOOP-15984	is related to	HADOOP-15983
HADOOP-15984	is related to	YARN-9741
HADOOP-15984	is related to	HADOOP-16795
HADOOP-15977	is related to	HADOOP-13836
HADOOP-15974	is caused by	HADOOP-15816
HADOOP-15967	is related to	HADOOP-16130
HADOOP-15967	is related to	HADOOP-15811
HADOOP-15967	is related to	HADOOP-16129
HADOOP-15966	is caused by	HADOOP-8719
HADOOP-15965	is related to	HADOOP-16050
HADOOP-15960	is depended upon by	HADOOP-9991
HADOOP-15960	is duplicated by	HDFS-14552
HADOOP-15960	is related to	HADOOP-11319
HADOOP-15960	is related to	HADOOP-15272
HADOOP-15960	is related to	HADOOP-15214
HADOOP-15960	is related to	HADOOP-14284
HADOOP-15960	is related to	HADOOP-14380
HADOOP-15960	is related to	HADOOP-9991
HADOOP-15960	is related to	HADOOP-14386
HADOOP-15960	is related to	HADOOP-10101
HADOOP-15960	is related to	HADOOP-15218
HADOOP-15960	is related to	SOLR-11763
HADOOP-15959	is depended upon by	HADOOP-12649
HADOOP-15959	is related to	HADOOP-15996
HADOOP-15958	is related to	HADOOP-15971
HADOOP-15956	is blocked by	HDFS-14898
HADOOP-15956	is blocked by	HDFS-14899
HADOOP-15956	is related to	HDFS-12961
HADOOP-15954	is related to	HADOOP-16826
HADOOP-15950	is related to	HADOOP-15941
HADOOP-15932	is caused by	HADOOP-14432
HADOOP-15926	is related to	HADOOP-15899
HADOOP-15924	is related to	HADOOP-16080
HADOOP-15920	is duplicated by	HDFS-14093
HADOOP-15913	is duplicated by	HADOOP-13809
HADOOP-15913	is duplicated by	HADOOP-12404
HADOOP-15908	is broken by	HADOOP-12893
HADOOP-15903	is related to	GEODE-5445
HADOOP-15902	is related to	HADOOP-16928
HADOOP-15901	is duplicated by	YARN-10566
HADOOP-15900	is caused by	HADOOP-14100
HADOOP-15895	is caused by	YARN-8873
HADOOP-15894	is related to	HADOOP-15625
HADOOP-15891	is related to	HADOOP-17238
HADOOP-15889	is related to	HADOOP-15885
HADOOP-15886	is caused by	HADOOP-15821
HADOOP-15885	is related to	HADOOP-12563
HADOOP-15883	is caused by	HADOOP-15864
HADOOP-15882	is depended upon by	HADOOP-15815
HADOOP-15879	is duplicated by	HADOOP-15815
HADOOP-15877	is related to	HADOOP-15974
HADOOP-15876	is blocked by	HADOOP-15872
HADOOP-15874	is related to	HBASE-21371
HADOOP-15873	is broken by	HADOOP-15775
HADOOP-15873	is related to	HBASE-21371
HADOOP-15870	is duplicated by	HADOOP-15920
HADOOP-15870	is related to	HADOOP-15871
HADOOP-15866	is caused by	HADOOP-15523
HADOOP-15864	is duplicated by	YARN-9297
HADOOP-15861	is broken by	HADOOP-14445
HADOOP-15860	is related to	HADOOP-16353
HADOOP-15859	is caused by	HADOOP-13578
HADOOP-15856	is broken by	HADOOP-15767
HADOOP-15853	is broken by	HADOOP-15708
HADOOP-15851	is related to	HADOOP-16174
HADOOP-15851	is related to	HADOOP-16353
HADOOP-15850	is caused by	HADOOP-11794
HADOOP-15845	is related to	HADOOP-14109
HADOOP-15845	is related to	HADOOP-14927
HADOOP-15842	is related to	HADOOP-15839
HADOOP-15837	is duplicated by	HADOOP-14576
HADOOP-15837	is related to	HADOOP-14576
HADOOP-15835	is related to	HADOOP-15550
HADOOP-15833	is related to	HADOOP-15834
HADOOP-15832	is depended upon by	YARN-6586
HADOOP-15832	is related to	HADOOP-16015
HADOOP-15832	is related to	HADOOP-15874
HADOOP-15832	is required by	YARN-8448
HADOOP-15827	is broken by	HADOOP-15947
HADOOP-15827	is caused by	HADOOP-15621
HADOOP-15827	is related to	HADOOP-16186
HADOOP-15825	is related to	HADOOP-16353
HADOOP-15823	is related to	HADOOP-16353
HADOOP-15822	is caused by	HADOOP-13578
HADOOP-15821	is related to	YARN-8845
HADOOP-15820	is caused by	HADOOP-13578
HADOOP-15820	is related to	HADOOP-15859
HADOOP-15814	is caused by	HADOOP-15741
HADOOP-15812	is blocked by	HADOOP-15872
HADOOP-15808	is depended upon by	HADOOP-14556
HADOOP-15802	is related to	HADOOP-15912
HADOOP-15798	is related to	HADOOP-15833
HADOOP-15790	is depended upon by	HADOOP-15788
HADOOP-15789	is depended upon by	HADOOP-15788
HADOOP-15785	is caused by	HADOOP-15304
HADOOP-15783	is a child of	HADOOP-16264
HADOOP-15781	is caused by	HADOOP-15642
HADOOP-15777	is related to	HDFS-13879
HADOOP-15775	is a child of	HADOOP-16264
HADOOP-15774	is related to	YARN-8050
HADOOP-15774	is related to	HADOOP-15821
HADOOP-15774	is related to	HDFS-13312
HADOOP-15759	is related to	HADOOP-16089
HADOOP-15758	is related to	HADOOP-12953
HADOOP-15750	is caused by	HADOOP-14833
HADOOP-15748	is related to	HADOOP-16458
HADOOP-15748	is related to	HADOOP-8870
HADOOP-15746	is duplicated by	HADOOP-15644
HADOOP-15744	is related to	HADOOP-15762
HADOOP-15741	is depended upon by	HADOOP-15304
HADOOP-15726	is depended upon by	HDFS-13791
HADOOP-15722	is depended upon by	SPARK-25330
HADOOP-15714	is caused by	HADOOP-15664
HADOOP-15711	is broken by	HADOOP-15251
HADOOP-15711	is broken by	HADOOP-13514
HADOOP-15711	is related to	HADOOP-16053
HADOOP-15711	is related to	HADOOP-16219
HADOOP-15698	is blocked by	HADOOP-13597
HADOOP-15696	is broken by	HADOOP-13597
HADOOP-15696	is related to	HADOOP-15743
HADOOP-15692	is depended upon by	HADOOP-16068
HADOOP-15691	is depended upon by	HADOOP-15777
HADOOP-15691	is related to	HADOOP-16150
HADOOP-15691	is related to	HDFS-14111
HADOOP-15691	is related to	HADOOP-18287
HADOOP-15691	is related to	HADOOP-15229
HADOOP-15691	is related to	HADOOP-17210
HADOOP-15691	is related to	HDFS-13879
HADOOP-15691	is required by	YARN-9607
HADOOP-15684	is caused by	HDFS-6440
HADOOP-15679	is caused by	HADOOP-12950
HADOOP-15679	is related to	HADOOP-16341
HADOOP-15679	is related to	HADOOP-16461
HADOOP-15679	is related to	SPARK-24523
HADOOP-15679	is related to	SPARK-25183
HADOOP-15676	is related to	HADOOP-15674
HADOOP-15675	is caused by	HDDS-119
HADOOP-15674	is cloned by	HADOOP-15676
HADOOP-15672	is related to	HADOOP-14556
HADOOP-15671	is related to	HADOOP-15759
HADOOP-15671	is related to	HADOOP-15992
HADOOP-15671	is related to	HADOOP-16030
HADOOP-15670	is duplicated by	HADOOP-17600
HADOOP-15669	is related to	HADOOP-16050
HADOOP-15661	is blocked by	HADOOP-15660
HADOOP-15650	is related to	HADOOP-15603
HADOOP-15650	is related to	HADOOP-14237
HADOOP-15644	is related to	HADOOP-16151
HADOOP-15642	is depended upon by	HADOOP-9991
HADOOP-15642	is related to	HADOOP-15583
HADOOP-15638	is broken by	HADOOP-13597
HADOOP-15637	is broken by	HADOOP-7165
HADOOP-15631	is broken by	HADOOP-13786
HADOOP-15629	is related to	HADOOP-15516
HADOOP-15626	is broken by	HADOOP-14396
HADOOP-15625	is related to	HADOOP-16313
HADOOP-15625	is related to	HADOOP-15999
HADOOP-15625	is related to	HADOOP-16090
HADOOP-15625	is required by	HADOOP-15751
HADOOP-15622	is related to	HADOOP-15593
HADOOP-15621	is depended upon by	HADOOP-15779
HADOOP-15620	is blocked by	HADOOP-16759
HADOOP-15620	is related to	HADOOP-15619
HADOOP-15620	is related to	HADOOP-16646
HADOOP-15619	is related to	HADOOP-16646
HADOOP-15617	is duplicated by	HADOOP-16051
HADOOP-15610	is related to	YETUS-641
HADOOP-15606	is depended upon by	HADOOP-15364
HADOOP-15604	is depended upon by	HADOOP-14936
HADOOP-15604	is related to	HADOOP-15349
HADOOP-15603	is related to	HADOOP-16792
HADOOP-15598	is caused by	HADOOP-12925
HADOOP-15593	is caused by	HADOOP-13590
HADOOP-15593	is related to	YARN-8514
HADOOP-15583	is depended upon by	HADOOP-14556
HADOOP-15583	is related to	HADOOP-15572
HADOOP-15576	is related to	HADOOP-15631
HADOOP-15576	is related to	HADOOP-15604
HADOOP-15572	is related to	HADOOP-15569
HADOOP-15571	is caused by	HADOOP-13440
HADOOP-15571	is related to	HADOOP-13073
HADOOP-15567	is related to	HDFS-6525
HADOOP-15567	is related to	HDFS-6382
HADOOP-15566	is duplicated by	HADOOP-17171
HADOOP-15566	is related to	HDDS-1153
HADOOP-15566	is related to	HDFS-13702
HADOOP-15566	is related to	HBASE-22120
HADOOP-15566	is related to	HADOOP-16867
HADOOP-15565	is duplicated by	HDFS-10323
HADOOP-15563	is depended upon by	HADOOP-15888
HADOOP-15556	is duplicated by	HADOOP-15555
HADOOP-15555	is duplicated by	HADOOP-15556
HADOOP-15554	is related to	HADOOP-15973
HADOOP-15549	is duplicated by	HADOOP-16086
HADOOP-15549	is duplicated by	HADOOP-16087
HADOOP-15542	is related to	HADOOP-15525
HADOOP-15542	is related to	HADOOP-13278
HADOOP-15541	is depended upon by	HADOOP-15220
HADOOP-15541	is related to	IMPALA-6910
HADOOP-15541	is related to	HADOOP-17764
HADOOP-15538	is related to	IMPALA-7482
HADOOP-15533	is caused by	HADOOP-15506
HADOOP-15532	is related to	HADOOP-13380
HADOOP-15532	is related to	HADOOP-15475
HADOOP-15530	is related to	HADOOP-15538
HADOOP-15529	is broken by	YARN-5219
HADOOP-15529	is related to	HADOOP-15475
HADOOP-15528	is blocked by	HADOOP-15536
HADOOP-15528	is blocked by	HADOOP-15529
HADOOP-15528	is related to	HADOOP-15537
HADOOP-15525	is related to	HADOOP-15460
HADOOP-15523	is broken by	HADOOP-13817
HADOOP-15522	is blocked by	HADOOP-15516
HADOOP-15518	is related to	YARN-8108
HADOOP-15514	is related to	HADOOP-15139
HADOOP-15513	is depended upon by	HADOOP-15465
HADOOP-15506	is depended upon by	HADOOP-15521
HADOOP-15502	is broken by	HADOOP-13660
HADOOP-15501	is blocked by	HADOOP-15502
HADOOP-15501	is blocked by	HDFS-13596
HADOOP-15501	is blocked by	YARN-8068
HADOOP-15501	is blocked by	YARN-8346
HADOOP-15501	is blocked by	YARN-8399
HADOOP-15501	is related to	HADOOP-15059
HADOOP-15501	is related to	HDFS-11096
HADOOP-15501	is related to	YARN-6142
HADOOP-15498	is related to	HADOOP-15475
HADOOP-15497	is related to	HADOOP-15475
HADOOP-15496	is related to	HADOOP-13079
HADOOP-15496	is related to	HADOOP-15475
HADOOP-15494	is related to	HADOOP-15475
HADOOP-15487	is related to	HADOOP-15401
HADOOP-15486	is depended upon by	HADOOP-15509
HADOOP-15482	is related to	HADOOP-15994
HADOOP-15481	is related to	HADOOP-9640
HADOOP-15476	is duplicated by	HADOOP-15618
HADOOP-15475	is related to	MAPREDUCE-7104
HADOOP-15473	is depended upon by	HADOOP-15509
HADOOP-15473	is duplicated by	HADOOP-15445
HADOOP-15473	is duplicated by	HADOOP-15519
HADOOP-15473	is related to	HBASE-20538
HADOOP-15467	is related to	HADOOP-15475
HADOOP-15467	is related to	HDFS-13569
HADOOP-15461	is duplicated by	HDFS-13708
HADOOP-15460	is duplicated by	HADOOP-18278
HADOOP-15460	is related to	BEAM-5934
HADOOP-15458	is related to	HADOOP-15475
HADOOP-15454	is related to	HADOOP-15475
HADOOP-15450	is broken by	HADOOP-13738
HADOOP-15441	is caused by	HADOOP-14987
HADOOP-15434	is required by	HADOOP-15356
HADOOP-15431	is broken by	HADOOP-14445
HADOOP-15430	is duplicated by	HADOOP-16923
HADOOP-15426	is related to	HADOOP-15583
HADOOP-15426	is related to	HADOOP-15604
HADOOP-15426	is related to	HADOOP-17180
HADOOP-15423	is related to	HADOOP-13649
HADOOP-15422	is related to	HADOOP-14833
HADOOP-15416	is related to	HADOOP-15420
HADOOP-15414	is related to	HADOOP-14445
HADOOP-15413	is related to	HADOOP-15412
HADOOP-15412	is related to	HADOOP-17255
HADOOP-15411	is related to	HADOOP-15418
HADOOP-15409	is duplicated by	HADOOP-15990
HADOOP-15408	is broken by	HADOOP-14445
HADOOP-15407	is depended upon by	HADOOP-15763
HADOOP-15407	is related to	HADOOP-15566
HADOOP-15404	is caused by	HDFS-13055
HADOOP-15402	is related to	HADOOP-15294
HADOOP-15398	is related to	HADOOP-16600
HADOOP-15398	is related to	HDFS-14871
HADOOP-15395	is duplicated by	HADOOP-7050
HADOOP-15395	is related to	HDFS-13129
HADOOP-15394	is related to	HADOOP-14309
HADOOP-15393	is depended upon by	HADOOP-15304
HADOOP-15392	is caused by	HADOOP-14475
HADOOP-15390	is broken by	HADOOP-13155
HADOOP-15389	is caused by	HADOOP-15299
HADOOP-15387	is related to	HADOOP-15924
HADOOP-15387	is related to	HADOOP-16080
HADOOP-15385	is broken by	MAPREDUCE-6909
HADOOP-15376	is broken by	HADOOP-14788
HADOOP-15289	is caused by	HDFS-6984
