HADOOP-18286,is related to,HADOOP-18073
HADOOP-18286,is related to,HADOOP-18285
HADOOP-18285,relates to,HADOOP-18286
HDFS-16629,is a child of,HADOOP-16795
HDFS-16629,is fixed by,HDFS-16635
HDFS-16629,relates to,HADOOP-18241
HADOOP-18284,is caused by,HDFS-16563
HADOOP-18284,is fixed by,MAPREDUCE-7387
HADOOP-18284,is fixed by,YARN-11172
HADOOP-18281,is blocked by,HADOOP-17833
HADOOP-18281,is related to,HADOOP-12020
YARN-11173,relates to,HADOOP-18275
HADOOP-18278,duplicates,HADOOP-15460
HADOOP-18277,is a parent of,MAPREDUCE-7390
HADOOP-18277,is a parent of,YARN-11187
HADOOP-18277,relates to,HADOOP-14188
YARN-11172,fixes,HADOOP-18284
YARN-11172,is caused by,HDFS-16563
HADOOP-18276,is related to,HADOOP-18158
HADOOP-18276,is related to,HADOOP-14671
HDFS-16616,is related to,HADOOP-18265
HADOOP-18275,is related to,YARN-11173
HADOOP-18271,is a child of,HADOOP-18232
MAPREDUCE-7384,is a child of,HADOOP-18270
HDFS-16612,is a child of,HADOOP-18270
YARN-11167,is a child of,HADOOP-18270
HADOOP-18270,is a parent of,HDFS-16612
HADOOP-18270,is a parent of,YARN-11167
HADOOP-18270,is a parent of,MAPREDUCE-7384
TEZ-4420,blocks,HIVE-24484
TEZ-4420,is broken by,HADOOP-18033
SPARK-39334,is related to,HADOOP-18088
HADOOP-18267,is related to,HADOOP-16598
HADOOP-18265,relates to,HDFS-16616
HADOOP-18257,is blocked by,HADOOP-18256
HADOOP-18256,blocks,HADOOP-18257
YARN-11162,is depended upon by,HADOOP-18305
YARN-11162,is related to,YARN-6840
PARQUET-2150,is superceded by,PARQUET-2155
PARQUET-2150,relates to,HADOOP-17939
HDFS-16590,is related to,HADOOP-18248
HDFS-16590,is related to,HDFS-16609
HADOOP-18248,relates to,HDFS-16590
HADOOP-18244,relates to,HADOOP-18229
HADOOP-18243,requires,HADOOP-18231
HADOOP-18241,is related to,HDFS-16629
HADOOP-18238,is caused by,HADOOP-17528
HADOOP-18237,is depended upon by,HADOOP-18305
HBASE-27042,relates to,HADOOP-17409
HBASE-27042,relates to,HADOOP-17735
HADOOP-18234,relates to,HADOOP-17198
HADOOP-18233,relates to,SPARK-38934
HADOOP-18233,relates to,HADOOP-18078
MAPREDUCE-7377,is a child of,HADOOP-18232
YARN-11142,is a child of,HADOOP-18232
HDFS-16576,breaks,HDFS-16635
HDFS-16576,is a child of,HADOOP-18232
HADOOP-18231,is required by,HADOOP-18243
HADOOP-18230,is a child of,HADOOP-18221
HADOOP-18229,is related to,HADOOP-18244
YARN-11138,fixes,HADOOP-18222
YARN-11138,is caused by,HADOOP-18167
HADOOP-18232,is a parent of,MAPREDUCE-7377
HADOOP-18232,is a parent of,HADOOP-18271
HADOOP-18232,is a parent of,HDFS-16576
HADOOP-18232,is a parent of,YARN-11142
YARN-11130,Dependent,HADOOP-18222
YARN-11130,is caused by,HADOOP-18167
HADOOP-18222,Dependent,YARN-11122
HADOOP-18222,Dependent,YARN-11130
HADOOP-18222,Dependent,YARN-11123
HADOOP-18222,is broken by,HADOOP-18167
HADOOP-18222,is fixed by,YARN-11138
YARN-11126,is depended upon by,HADOOP-18305
